""
Masoomali Fatehkia
Duncan Watts 
Tarunima Prabhakar
Junjun Yin
Sreeja Nair
Demetris Avraam
William Cai
Francisco C
Chris Tokita
Itto Kornecki
Ben Thies
Muyang Li
Rudy Arthur 
Andre Santanche
Armin Mertens
Douglas Mcleod
Roel Faber
Robert Stelter
No presentation: Eelke Heemskerk
Walid Magdy
Bruno Toshio Sugano 
Kyriaki Kalimeri 
Zahra Sheikhbahaee 
Alina Sirbu
Ali Faqeeh
Joana Gonçalves-Sá 
Jérémie Rappaz
Aniko Hannak
John Skvoretz
Roberta Sinatra
Spencer Hommel
Cristian Candia Vallejos
Fosca Gianotti 
Satyam Mukherjee
Kristina Gligoric
Wei Lee Woon
No Presentation
Kokil Jaidka
César Hidalgo
Jacob G
Nicolas Todd
Uma Maheswari Gollapudi
Kieran Mepham
Cláudio Vieira
Carlos Rodriguez Sickert
David Mimno
Cor Veenman
David Rand
Yphtach Lelkes
Alessandro Rosina 
Taha Yasseri
Renáta Németh
Alejandro Noriega Campero
Gabriela Molina León
Juliano Cavalli
Henri Kauhanen 
Alex Pentland
Omar Guerrero
Yuval Benjamini 
Florian Wanders
Joseph Bajjalieh
Jeff Lockhart
Kangsan Lee
Shaojing Sun
Yan Leng
Geoffrey Canright
Federico Battiston
Oana Vuculescu
Rebekah Tromble
Riccardo Di Clemente
János Kertész
Vítor V
George Walkden
Yifan Qian 
James Evans
Milad Abbasiharofteh
Haewoon Kwak
Liat Ayalon
Adrien Benamira
Sanja Hajdinjak
Isak Ladegaard
Lushi Chen
Fırat Duruşan
Sune Lehmann
Leila Zia
Manuel Garcia-Herranz 
Philip Leifeld
Daniel Goldstein
Morgan Frank 
George Vega Yon
Nees Jan Van Eck
Johan Bollen
Fredrik Jansson
Zohar Neu 
Jacob Miller
Markus Mobius
Ylli Prifti
Florian Lemmerich
Philip Howard
Alicia Eads
Benjamin Devillers
Zuzana Sasovova 
Ridhi Kashyap
Max Pellert
Selin Köksal 
Kostas Stathoulopoulos
Chenghua Guan
Yuki M. Asano 
Sandy Pentland
Luca Maria Aiello
Dieter Wang
Peter Davis 
Hanna Wallach
Yang Wang
Yaneer Bar-Yam
Svetlana Zhuchkova 
Anna May
Jean-Pierre Chevrot
Kyriaki Kalimeri
Eaman Jahani
David Rothschild
Daniele Quercia
Neda Paryab
Frank Peter Pijpers
Iyad Rahwan
Mattia Gasparini 
Luce le Gorrec
Tarun Jain
Maayan Levinson
Clemens Harten
Eric Fleury
David Jurgens
Morgan Frank
Heng Xu
Andrea Cavicchini
Zhen Zhu
Dhavan Shah
Vsevolod Suschevskiy
Rahul Arulkumaran
Stephane Verguet
Ethan Bernstein
Aliakbar Akbaritabar
Souvik Ghosh
Pablo Lozano
Dirk Van Rooy
David Adelani
Rudy Arthur
Aristides Gionis 
Dan Levene 
Ziv Epstein
Scott Hale
Anna Di Natale
Emilio Ferrara
Radim Hladik
Diego Pérez
Jennifer Wortman Vaughan
Alessandra Urbinati
Ayush K. Rai
Austin Benson 
Arnout van de Rijt
Frank Takes
Sara Tonelli 
Caterina Gennaioli
Angel Sanchez
Angel Sánchez
Bryan Bruns 
Jianjun Sun
Johannes Gruber
Stefan Wojcik
Alexandra Schofield
Chunying Wen
Martin Lukac 
András Vörös 
Yang Yang
Luis Cueto-Felgueroso
